Month_Day,2016,2017,2018,2019,2020,2021,2022
10-03,276.8904,283.5972,288.5706,308.9178,271.6902,223.5924,210.3246
10-04,313.8426,319.4316,317.925,317.0988,274.6872,278.5752,
10-05,329.1678,321.6024,303.7338,292.5234,348.5916,275.967,
10-06,344.088,326.6082,263.9628,295.9578,336.474,295.1802,
10-07,340.0218,285.8328,272.7594,346.5504,333.4122,308.1402,
10-08,298.4364,288.684,324.3726,331.5816,327.4668,293.6412,
10-09,303.6852,346.7934,328.131,334.7244,339.0822,253.3842,
10-10,358.344,324.7938,306.7146,327.8556,290.9844,259.5402,
10-11,360.1422,315.7542,299.943,301.5306,301.887,302.7132,
10-12,365.5368,319.383,291.4704,266.9598,377.1522,316.8882,
10-13,354.6828,315.9,254.34,254.4048,378.918,326.7378,
10-14,336.8466,274.7682,256.446,317.196,369.9432,311.8014,
10-15,301.401,273.9258,315.9324,329.5404,394.794,301.5306,
10-16,297.918,314.2314,326.4462,335.5992,388.314,275.2542,
10-17,354.2454,327.0294,329.2974,337.3164,342.6462,272.241,
10-18,355.023,341.6094,333.1692,318.9942,329.3136,310.311,
10-19,368.2908,336.5712,333.3312,293.544,387.3582,296.4762,
10-20,373.2156,322.8822,288.5382,293.9976,363.9654,277.0362,
10-21,363.5766,281.394,287.793,340.9614,340.7994,298.5822,
10-22,317.7144,286.7076,335.0484,348.0408,338.5476,304.317,
10-23,315.171,349.4826,334.5786,346.4046,349.596,288.846,
10-24,362.8476,340.9452,338.013,337.5756,305.4024,281.961,
10-25,374.2524,332.829,338.1426,319.059,298.7604,334.0602,
10-26,370.5102,344.2986,334.2708,273.5208,364.986,323.676,
10-27,354.2778,334.7082,329.7996,290.0772,358.7166,316.5156,
10-28,341.7714,307.7028,323.6922,370.98,350.9406,317.7468,
10-29,318.3624,301.2876,366.1848,380.7324,350.325,303.7824,
10-30,306.828,347.7492,357.4692,383.9562,318.9618,280.0008,
10-31,344.7198,335.8098,352.1394,373.5558,282.528,254.016,
11-01,333.0234,339.8922,336.3282,329.994,273.132,296.4438,
11-02,378.2376,359.7372,351.7992,289.8342,308.0268,362.3778,
11-03,396.009,370.1862,322.5744,300.5424,356.805,374.22,
11-04,378.7236,314.604,316.5966,361.2276,387.2934,362.1834,
11-05,330.0426,331.1442,365.6502,373.2642,392.7366,348.1542,
11-06,342.144,413.4888,363.0258,384.1668,380.538,296.3142,
11-07,419.499,412.533,363.3012,382.2552,330.0102,294.8562,
11-08,433.3662,423.1116,372.3894,380.943,330.2856,376.9578,
11-09,430.0128,407.7054,354.942,340.8318,396.2682,374.868,
11-10,424.278,382.5468,300.5586,347.571,410.9616,401.0796,
11-11,415.3356,341.4312,296.784,392.7852,398.6334,394.9398,
11-12,374.463,349.8066,342.2412,406.1826,384.3774,372.033,
11-13,379.3554,417.0204,350.73,421.3458,365.2938,328.1148,
11-14,427.3074,410.994,382.6764,414.7524,307.9296,323.3196,
11-15,408.5316,426.8538,392.8986,397.5804,296.8812,399.8322,
11-16,383.9724,421.2162,374.8194,359.2674,360.5634,398.8116,
11-17,367.0758,403.1208,344.493,361.0008,367.74,369.6192,
11-18,371.7414,346.4856,351.2322,411.1074,358.7004,349.9038,
11-19,341.1234,347.8788,403.6716,434.7108,373.8312,335.5992,
11-20,323.2386,411.9822,416.8908,447.9948,418.689,302.4378,
11-21,365.2776,402.3918,442.1142,432.7668,351.9126,325.539,
11-22,381.348,376.9092,450.117,398.115,347.3928,403.3476,
11-23,386.937,366.2658,429.3324,342.3708,418.0896,420.876,
11-24,394.47,375.1272,367.6914,352.4472,428.976,419.2236,
11-25,398.0178,348.4944,356.7078,414.8658,445.5324,416.502,
11-26,357.4044,353.8404,433.4796,391.5702,452.466,393.2226,
11-27,358.2144,406.6362,440.1378,368.712,441.7092,365.1804,
11-28,443.0862,418.9806,413.4078,370.7694,395.8308,367.7724,
11-29,454.1832,458.1684,399.1032,389.124,407.2194,423.63,
11-30,430.0452,458.8326,397.6614,371.385,456.4188,386.0946,
12-01,410.7186,450.8946,339.795,380.9916,456.9696,367.4808,
12-02,421.1838,402.4728,324.0324,444.2202,471.6954,419.9364,
12-03,398.3904,389.7396,362.4588,444.3012,450.9108,396.3816,
12-04,400.464,424.4238,405.4698,447.4278,437.7564,352.1718,
12-05,465.264,415.0926,414.5256,442.5516,401.6142,363.9654,
12-06,467.9532,414.6552,386.37,394.3404,398.5524,426.0114,
12-07,448.173,408.807,358.7328,333.7362,447.4278,417.0204,
12-08,416.5182,416.7288,327.4506,322.2018,457.9254,418.1544,
12-09,401.3388,387.3096,334.9998,398.7468,470.7558,433.593,
12-10,347.2794,381.7044,404.19,424.0674,471.3228,421.2972,
12-11,342.8244,426.6108,437.4324,437.7402,441.1098,369.6192,
12-12,410.2974,433.3338,452.466,426.9024,386.7426,341.739,
12-13,422.8524,420.7302,457.083,410.7348,373.1346,395.1666,
12-14,419.58,422.9496,453.2598,346.5504,411.1398,397.7424,
12-15,422.3178,429.624,404.1576,339.2118,413.991,388.8,
12-16,423.5814,380.1006,397.8558,401.2902,400.0266,392.8176,
12-17,379.3878,383.94,435.375,374.2362,398.2608,384.3126,
12-18,372.0654,452.142,423.6948,390.8088,382.7412,340.7184,
12-19,420.5034,452.304,415.6758,366.3144,342.225,331.4844,
12-20,428.7168,432.1674,386.451,344.25,347.166,423.0144,
12-21,415.1088,398.52,346.113,323.5788,356.8374,437.9022,
12-22,399.5892,362.1024,319.14,315.7542,335.3724,420.5358,
12-23,354.3102,309.8088,311.3316,318.654,326.349,354.1158,
12-24,279.6282,287.5338,316.4994,297.2538,303.831,293.0094,
12-25,264.6756,304.7382,317.8116,299.133,324.8586,305.8236,
12-26,283.7916,315.252,333.5742,313.0488,317.0988,313.1946,
12-27,329.5728,347.814,358.4736,337.5432,320.355,330.2694,
12-28,352.5606,357.4044,356.5296,343.278,363.7872,311.3802,
12-29,365.2614,351.6534,330.237,338.0292,365.9094,299.7648,
12-30,364.7754,307.8486,317.6334,343.9098,362.6694,269.2926,
12-31,337.9482,278.964,306.8442,336.7656,348.462,245.5434,
